Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","356","India","50004","Fat content of imports (g/capita/day)","0113","Rice","2005","2005","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50005","Carbohydrate, available, content of imports (g/capita/day)","0113","Rice","2005","2005","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50006","Dietary fibre content of imports (g/capita/day)","0113","Rice","2005","2005","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50008","Calcium content of imports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50009","Iron content of imports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50010","Magnesium content of imports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50011","Phosphorus content of imports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50012","Potassium content of imports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50014","Zinc content of imports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50016","Vitamin A (RE) content of imports (mcg/capita/day)","0113","Rice","2005","2005","μg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50017","Vitamin A (RAE) content of imports (mcg/capita/day)","0113","Rice","2005","2005","μg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50020","Thiamin content of imports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50021","Riboflavin content of imports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","50028","Vitamin C content of imports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66002","Energy content of exports (kcal/capita/day)","0113","Rice","2005","2005","Kcal","0.47","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66003","Protein content of exports (g/capita/day)","0113","Rice","2005","2005","g","0.01","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66004","Fat content of exports (g/capita/day)","0113","Rice","2005","2005","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66005","Carbohydrate, available, content of exports (g/capita/day)","0113","Rice","2005","2005","g","0.1","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66006","Dietary fibre content of exports (g/capita/day)","0113","Rice","2005","2005","g","0.01","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66008","Calcium content of exports (mg/capita/day)","0113","Rice","2005","2005","mg","0.03","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66009","Iron content of exports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
